"longitude" "latitude"
"600" -59.5 -36.5
"601" -58.5 -36.5
"602" -57.5 -37.5
"603" -56.5 -37.5
"604" -57.5 -36.5
"605" -56.5 -36.5
"606" -63.5 -35.5
"607" -62.5 -35.5
"608" -63.5 -34.5
"609" -62.5 -34.5
"610" -61.5 -35.5
"611" -60.5 -35.5
"612" -61.5 -34.5
"613" -60.5 -34.5
"614" -63.5 -33.5
"615" -62.5 -33.5
"616" -63.5 -32.5
"617" -62.5 -32.5
"618" -61.5 -33.5
"619" -60.5 -33.5
"620" -61.5 -32.5
"621" -60.5 -32.5
"622" -59.5 -35.5
"623" -58.5 -35.5
"624" -59.5 -34.5
"625" -58.5 -34.5
"626" -57.5 -35.5
"627" -57.5 -34.5
"628" -56.5 -34.5
"629" -59.5 -33.5
"630" -58.5 -33.5
"631" -59.5 -32.5
"632" -58.5 -32.5
"633" -57.5 -33.5
"634" -56.5 -33.5
"635" -57.5 -32.5
"636" -56.5 -32.5
"637" -55.5 -34.5
"638" -54.5 -34.5
"639" -53.5 -34.5
"640" -55.5 -33.5
"641" -54.5 -33.5
"642" -55.5 -32.5
"643" -54.5 -32.5
"644" -53.5 -33.5
"645" -52.5 -33.5
"646" -53.5 -32.5
"647" -52.5 -32.5
"648" -63.5 -31.5
"649" -62.5 -31.5
"650" -63.5 -30.5
"651" -62.5 -30.5
"652" -61.5 -31.5
"653" -60.5 -31.5
"654" -61.5 -30.5
"655" -60.5 -30.5
"656" -63.5 -29.5
"657" -62.5 -29.5
"658" -63.5 -28.5
"659" -62.5 -28.5
"660" -61.5 -29.5
"661" -60.5 -29.5
"662" -61.5 -28.5
"663" -60.5 -28.5
"664" -59.5 -31.5
"665" -58.5 -31.5
"666" -59.5 -30.5
"667" -58.5 -30.5
"668" -57.5 -31.5
"669" -56.5 -31.5
"670" -57.5 -30.5
"671" -56.5 -30.5
"672" -59.5 -29.5
"673" -58.5 -29.5
"674" -59.5 -28.5
"675" -58.5 -28.5
"676" -57.5 -29.5
"677" -56.5 -29.5
"678" -57.5 -28.5
"679" -56.5 -28.5
"680" -63.5 -27.5
"681" -62.5 -27.5
"682" -63.5 -26.5
"683" -62.5 -26.5
"684" -61.5 -27.5
"685" -60.5 -27.5
"686" -61.5 -26.5
"687" -60.5 -26.5
"688" -63.5 -25.5
"689" -62.5 -25.5
"690" -63.5 -24.5
"691" -62.5 -24.5
"692" -61.5 -25.5
"693" -60.5 -25.5
"694" -61.5 -24.5
"695" -60.5 -24.5
"696" -59.5 -27.5
"697" -58.5 -27.5
"698" -59.5 -26.5
"699" -58.5 -26.5
"700" -57.5 -27.5
"701" -56.5 -27.5
"702" -57.5 -26.5
"703" -56.5 -26.5
"704" -59.5 -25.5
"705" -58.5 -25.5
"706" -59.5 -24.5
"707" -58.5 -24.5
"708" -57.5 -25.5
"709" -56.5 -25.5
"710" -57.5 -24.5
"711" -56.5 -24.5
"712" -55.5 -31.5
"713" -54.5 -31.5
"714" -55.5 -30.5
"715" -54.5 -30.5
"716" -53.5 -31.5
"717" -52.5 -31.5
"718" -53.5 -30.5
"719" -52.5 -30.5
"720" -55.5 -29.5
"721" -54.5 -29.5
"722" -55.5 -28.5
"723" -54.5 -28.5
"724" -53.5 -29.5
"725" -52.5 -29.5
"726" -53.5 -28.5
"727" -52.5 -28.5
"728" -51.5 -31.5
"729" -51.5 -30.5
"730" -50.5 -30.5
"731" -51.5 -29.5
"732" -50.5 -29.5
"733" -51.5 -28.5
"734" -50.5 -28.5
"735" -49.5 -29.5
"736" -49.5 -28.5
"737" -48.5 -28.5
"738" -55.5 -27.5
"739" -54.5 -27.5
"740" -55.5 -26.5
"741" -54.5 -26.5
"742" -53.5 -27.5
"743" -52.5 -27.5
"744" -53.5 -26.5
"745" -52.5 -26.5
"746" -55.5 -25.5
"747" -54.5 -25.5
"748" -55.5 -24.5
"749" -54.5 -24.5
"750" -53.5 -25.5
"751" -52.5 -25.5
"752" -53.5 -24.5
"753" -52.5 -24.5
"754" -51.5 -27.5
"755" -50.5 -27.5
"756" -51.5 -26.5
"757" -50.5 -26.5
"758" -49.5 -27.5
"759" -48.5 -27.5
"760" -49.5 -26.5
"761" -48.5 -26.5
"762" -51.5 -25.5
"763" -50.5 -25.5
"764" -51.5 -24.5
"765" -50.5 -24.5
"766" -49.5 -25.5
"767" -48.5 -25.5
"768" -49.5 -24.5
"769" -48.5 -24.5
"770" -63.5 -23.5
"771" -62.5 -23.5
"772" -63.5 -22.5
"773" -62.5 -22.5
"774" -61.5 -23.5
"775" -60.5 -23.5
"776" -61.5 -22.5
"777" -60.5 -22.5
"778" -63.5 -21.5
"779" -62.5 -21.5
"780" -63.5 -20.5
"781" -62.5 -20.5
"782" -61.5 -21.5
"783" -60.5 -21.5
"784" -61.5 -20.5
"785" -60.5 -20.5
"786" -59.5 -23.5
"787" -58.5 -23.5
"788" -59.5 -22.5
"789" -58.5 -22.5
"790" -57.5 -23.5
"791" -56.5 -23.5
"792" -57.5 -22.5
"793" -56.5 -22.5
"794" -59.5 -21.5
"795" -58.5 -21.5
"796" -59.5 -20.5
"797" -58.5 -20.5
"798" -57.5 -21.5
"799" -56.5 -21.5
"800" -57.5 -20.5
"801" -56.5 -20.5
"802" -63.5 -19.5
"803" -62.5 -19.5
"804" -63.5 -18.5
"805" -62.5 -18.5
"806" -61.5 -19.5
"807" -60.5 -19.5
"808" -61.5 -18.5
"809" -60.5 -18.5
"810" -63.5 -17.5
"811" -62.5 -17.5
"812" -63.5 -16.5
"813" -62.5 -16.5
"814" -61.5 -17.5
"815" -60.5 -17.5
"816" -61.5 -16.5
"817" -60.5 -16.5
"818" -59.5 -19.5
"819" -58.5 -19.5
"820" -59.5 -18.5
"821" -58.5 -18.5
"822" -57.5 -19.5
"823" -56.5 -19.5
"824" -57.5 -18.5
"825" -56.5 -18.5
"826" -59.5 -17.5
"827" -58.5 -17.5
"828" -59.5 -16.5
"829" -58.5 -16.5
"830" -57.5 -17.5
"831" -56.5 -17.5
"832" -57.5 -16.5
"833" -56.5 -16.5
"834" -55.5 -23.5
"835" -54.5 -23.5
"836" -55.5 -22.5
"837" -54.5 -22.5
"838" -53.5 -23.5
"839" -52.5 -23.5
"840" -53.5 -22.5
"841" -52.5 -22.5
"842" -55.5 -21.5
"843" -54.5 -21.5
"844" -55.5 -20.5
"845" -54.5 -20.5
